change_id,website_id,page_id,from_version,to_version,change_type,change_scope,requires_reembedding,detection_method,pct_content_changed,min_chunk_text_similarity,embedding_affected,change_event_timestamp,change_event_timestamp_source,split
CHG000001,W001,P01,V01,V02,requirement,page,yes,hash_then_semantic_diff,95.08,0.095745,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000002,W001,P02,V01,V02,policy,page,yes,hash_then_semantic_diff,94.42,0.613288,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000003,W001,P03,V01,V02,semantic,page,yes,hash_then_semantic_diff,94.11,0.091711,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000004,W001,P04,V01,V02,numeric,page,yes,hash_then_semantic_diff,94.11,0.195122,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000005,W001,P05,V01,V02,major_semantic,page,yes,hash_then_semantic_diff,54.62,0.159645,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000006,W001,P06,V01,V02,reordering,page,conditional,hash_then_semantic_diff,92.74,0.097643,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000007,W001,P07,V01,V02,date_time,page,yes,hash_then_semantic_diff,90.54,0.109929,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000008,W001,P08,V01,V02,deletion,page,yes,hash_then_semantic_diff,76.42,0.380313,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000009,W001,P09,V01,V02,addition,page,yes,hash_then_semantic_diff,93.99,0.086806,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000010,W001,P10,V01,V02,requirement,page,yes,hash_then_semantic_diff,94.91,0.658494,yes,2026-01-08T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000011,W001,P01,V02,V03,deletion,page,yes,hash_then_semantic_diff,93.38,0.111693,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000012,W001,P02,V02,V03,addition,page,yes,hash_then_semantic_diff,55.89,0.402655,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000013,W001,P03,V02,V03,requirement,page,yes,hash_then_semantic_diff,94.67,0.092035,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000014,W001,P04,V02,V03,policy,page,yes,hash_then_semantic_diff,80.43,0.107335,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000015,W001,P05,V02,V03,semantic,page,yes,hash_then_semantic_diff,92.46,0.379464,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000016,W001,P06,V02,V03,numeric,page,yes,hash_then_semantic_diff,94.24,0.503311,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000017,W001,P07,V02,V03,major_semantic,page,yes,hash_then_semantic_diff,94.31,0.087566,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000018,W001,P08,V02,V03,reordering,page,conditional,hash_then_semantic_diff,94.31,0.084211,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000019,W001,P09,V02,V03,date_time,page,yes,hash_then_semantic_diff,94.13,0.088339,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000020,W001,P10,V02,V03,deletion,page,yes,hash_then_semantic_diff,94.32,0.087566,yes,2026-01-15T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000021,W001,P01,V03,V04,reordering,page,conditional,hash_then_semantic_diff,94.92,0.087566,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000022,W001,P02,V03,V04,date_time,page,yes,hash_then_semantic_diff,74.9,0.47216,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000023,W001,P03,V03,V04,deletion,page,yes,hash_then_semantic_diff,94.72,0.098418,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000024,W001,P04,V03,V04,addition,page,yes,hash_then_semantic_diff,94.71,0.087873,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000025,W001,P05,V03,V04,requirement,page,yes,hash_then_semantic_diff,94.93,0.093913,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000026,W001,P06,V03,V04,policy,page,yes,hash_then_semantic_diff,94.85,0.087395,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000027,W001,P07,V03,V04,semantic,page,yes,hash_then_semantic_diff,94.0,0.103093,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000028,W001,P08,V03,V04,numeric,page,yes,hash_then_semantic_diff,94.5,0.105448,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000029,W001,P09,V03,V04,major_semantic,page,yes,hash_then_semantic_diff,76.9,0.523282,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000030,W001,P10,V03,V04,reordering,page,conditional,hash_then_semantic_diff,95.11,0.385809,yes,2026-01-22T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000031,W001,P01,V04,V05,numeric,page,yes,hash_then_semantic_diff,74.58,0.088652,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000032,W001,P02,V04,V05,major_semantic,page,yes,hash_then_semantic_diff,94.23,0.105442,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000033,W001,P03,V04,V05,reordering,page,conditional,hash_then_semantic_diff,94.54,0.08377,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000034,W001,P04,V04,V05,date_time,page,yes,hash_then_semantic_diff,94.51,0.091549,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000035,W001,P05,V04,V05,deletion,page,yes,hash_then_semantic_diff,94.79,0.088889,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000036,W001,P06,V04,V05,addition,page,yes,hash_then_semantic_diff,77.39,0.392857,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000037,W001,P07,V04,V05,requirement,page,yes,hash_then_semantic_diff,94.19,0.199115,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000038,W001,P08,V04,V05,policy,page,yes,hash_then_semantic_diff,94.32,0.08377,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
CHG000039,W001,P09,V04,V05,semantic,page,yes,hash_then_semantic_diff,94.74,0.087413,yes,2026-01-29T00:00:00Z,release date of to_version (see version_timestamps.csv),train
