change_id,website_id,page_id,from_version,to_version,chunk_index,chunk_id_from,chunk_id_to,text_equal,text_similarity,status,embedding_affected,split
CHG000001,W001,P01,V01,V02,1,W001_V01_P01_C1,W001_V02_P01_C1,no,0.095745,modified,yes,train
CHG000001,W001,P01,V01,V02,2,W001_V01_P01_C2,W001_V02_P01_C2,no,0.37694,modified,yes,train
CHG000002,W001,P02,V01,V02,1,W001_V01_P02_C1,W001_V02_P02_C1,no,0.613288,modified,yes,train
CHG000002,W001,P02,V01,V02,2,W001_V01_P02_C2,W001_V02_P02_C2,no,0.906667,modified,yes,train
CHG000003,W001,P03,V01,V02,1,W001_V01_P03_C1,W001_V02_P03_C1,no,0.091711,modified,yes,train
CHG000003,W001,P03,V01,V02,2,W001_V01_P03_C2,W001_V02_P03_C2,no,0.2049,modified,yes,train
CHG000004,W001,P04,V01,V02,1,W001_V01_P04_C1,W001_V02_P04_C1,no,0.579505,modified,yes,train
CHG000004,W001,P04,V01,V02,2,W001_V01_P04_C2,W001_V02_P04_C2,no,0.195122,modified,yes,train
CHG000005,W001,P05,V01,V02,1,W001_V01_P05_C1,W001_V02_P05_C1,no,0.568995,modified,yes,train
CHG000005,W001,P05,V01,V02,2,W001_V01_P05_C2,W001_V02_P05_C2,no,0.159645,modified,yes,train
CHG000006,W001,P06,V01,V02,1,W001_V01_P06_C1,W001_V02_P06_C1,no,0.097643,modified,yes,train
CHG000006,W001,P06,V01,V02,2,W001_V01_P06_C2,W001_V02_P06_C2,no,0.172949,modified,yes,train
CHG000007,W001,P07,V01,V02,1,W001_V01_P07_C1,W001_V02_P07_C1,no,0.109929,modified,yes,train
CHG000007,W001,P07,V01,V02,2,W001_V01_P07_C2,W001_V02_P07_C2,no,0.200445,modified,yes,train
CHG000008,W001,P08,V01,V02,1,W001_V01_P08_C1,W001_V02_P08_C1,no,0.586995,modified,yes,train
CHG000008,W001,P08,V01,V02,2,W001_V01_P08_C2,W001_V02_P08_C2,no,0.380313,modified,yes,train
CHG000009,W001,P09,V01,V02,1,W001_V01_P09_C1,W001_V02_P09_C1,no,0.086806,modified,yes,train
CHG000009,W001,P09,V01,V02,2,W001_V01_P09_C2,W001_V02_P09_C2,no,0.384106,modified,yes,train
CHG000010,W001,P10,V01,V02,1,W001_V01_P10_C1,W001_V02_P10_C1,no,0.658494,modified,yes,train
CHG000010,W001,P10,V01,V02,2,W001_V01_P10_C2,W001_V02_P10_C2,no,0.892857,modified,yes,train
CHG000011,W001,P01,V02,V03,1,W001_V02_P01_C1,W001_V03_P01_C1,no,0.111693,modified,yes,train
CHG000011,W001,P01,V02,V03,2,W001_V02_P01_C2,W001_V03_P01_C2,no,0.380531,modified,yes,train
CHG000012,W001,P02,V02,V03,1,W001_V02_P02_C1,W001_V03_P02_C1,no,0.411371,modified,yes,train
CHG000012,W001,P02,V02,V03,2,W001_V02_P02_C2,W001_V03_P02_C2,no,0.402655,modified,yes,train
CHG000013,W001,P03,V02,V03,1,W001_V02_P03_C1,W001_V03_P03_C1,no,0.092035,modified,yes,train
CHG000013,W001,P03,V02,V03,2,W001_V02_P03_C2,W001_V03_P03_C2,no,0.161074,modified,yes,train
CHG000014,W001,P04,V02,V03,1,W001_V02_P04_C1,W001_V03_P04_C1,no,0.107335,modified,yes,train
CHG000014,W001,P04,V02,V03,2,W001_V02_P04_C2,W001_V03_P04_C2,no,0.381375,modified,yes,train
CHG000015,W001,P05,V02,V03,1,W001_V02_P05_C1,W001_V03_P05_C1,no,0.598291,modified,yes,train
CHG000015,W001,P05,V02,V03,2,W001_V02_P05_C2,W001_V03_P05_C2,no,0.379464,modified,yes,train
CHG000016,W001,P06,V02,V03,1,W001_V02_P06_C1,W001_V03_P06_C1,no,0.596252,modified,yes,train
CHG000016,W001,P06,V02,V03,2,W001_V02_P06_C2,W001_V03_P06_C2,no,0.503311,modified,yes,train
CHG000017,W001,P07,V02,V03,1,W001_V02_P07_C1,W001_V03_P07_C1,no,0.087566,modified,yes,train
CHG000017,W001,P07,V02,V03,2,W001_V02_P07_C2,W001_V03_P07_C2,no,0.201342,modified,yes,train
CHG000018,W001,P08,V02,V03,1,W001_V02_P08_C1,W001_V03_P08_C1,no,0.084211,modified,yes,train
CHG000018,W001,P08,V02,V03,2,W001_V02_P08_C2,W001_V03_P08_C2,no,0.90625,modified,yes,train
CHG000019,W001,P09,V02,V03,1,W001_V02_P09_C1,W001_V03_P09_C1,no,0.088339,modified,yes,train
CHG000019,W001,P09,V02,V03,2,W001_V02_P09_C2,W001_V03_P09_C2,no,0.171806,modified,yes,train
CHG000020,W001,P10,V02,V03,1,W001_V02_P10_C1,W001_V03_P10_C1,no,0.087566,modified,yes,train
CHG000020,W001,P10,V02,V03,2,W001_V02_P10_C2,W001_V03_P10_C2,no,0.383929,modified,yes,train
CHG000021,W001,P01,V03,V04,1,W001_V03_P01_C1,W001_V04_P01_C1,no,0.087566,modified,yes,train
CHG000021,W001,P01,V03,V04,2,W001_V03_P01_C2,W001_V04_P01_C2,no,0.208426,modified,yes,train
CHG000022,W001,P02,V03,V04,1,W001_V03_P02_C1,W001_V04_P02_C1,no,0.637437,modified,yes,train
CHG000022,W001,P02,V03,V04,2,W001_V03_P02_C2,W001_V04_P02_C2,no,0.47216,modified,yes,train
CHG000023,W001,P03,V03,V04,1,W001_V03_P03_C1,W001_V04_P03_C1,no,0.098418,modified,yes,train
CHG000023,W001,P03,V03,V04,2,W001_V03_P03_C2,W001_V04_P03_C2,no,0.199557,modified,yes,train
CHG000024,W001,P04,V03,V04,1,W001_V03_P04_C1,W001_V04_P04_C1,no,0.087873,modified,yes,train
CHG000024,W001,P04,V03,V04,2,W001_V03_P04_C2,W001_V04_P04_C2,no,0.200445,modified,yes,train
CHG000025,W001,P05,V03,V04,1,W001_V03_P05_C1,W001_V04_P05_C1,no,0.093913,modified,yes,train
CHG000025,W001,P05,V03,V04,2,W001_V03_P05_C2,W001_V04_P05_C2,no,0.897321,modified,yes,train
CHG000026,W001,P06,V03,V04,1,W001_V03_P06_C1,W001_V04_P06_C1,no,0.087395,modified,yes,train
CHG000026,W001,P06,V03,V04,2,W001_V03_P06_C2,W001_V04_P06_C2,no,0.177384,modified,yes,train
