document_id,website_id,page_id,version,corpus_file,content_raw_hash,content_normalized_hash,normalization,split
W001_V01_P01,W001,P01,V01,,c1906b3eb7ae934ec4a30bf8bc71f5f081638095e0685a72f5201b5bdafa2ecc,008afbdfc826023b987ed02ef8fa65929e84119ff9e52a2c2a2da5760ecdf99e,whitespace_collapsed_lower,train
W001_V01_P02,W001,P02,V01,,26f2c9c2f9f147206b11239aaec9abdbe507023bd15309f67c470de92efa4bee,0eef017f9d571f2fdd59694e0c556495694d97a2640db60d54bf37db841ea497,whitespace_collapsed_lower,train
W001_V01_P03,W001,P03,V01,,8a551ff935f19757ba069aa785d442f17d8e86bdbb73b0977f890e282438e191,b6c71d54cd632a883b4cd6f2cbef45ed907546b280a70b227b6d185dc5ac97db,whitespace_collapsed_lower,train
W001_V01_P04,W001,P04,V01,,75760c8d96d97c2fd25d76ccd490a67bbbb0680a3f0885a982e4f41bc143bca9,2d6618102a2b54ad383e09c8f15a18934fb3fd35f874b40421f0fc3c057e64b3,whitespace_collapsed_lower,train
W001_V01_P05,W001,P05,V01,,107908567f4c762a39d873e0b766aa6a8ccb736420178b68dbf47debc92235c9,951d1ec9f0d456ed6bace70827f1c86cd2ef3cdcd9157dbe857d178afbf74992,whitespace_collapsed_lower,train
W001_V01_P06,W001,P06,V01,,5fbe6a666c306169f4b23f5c9f85210ee51f5db7deeebd2db134e49de1655b85,7c4bb3ee08177127232b1dc0509cb2c829c31b1b3838c4901a6768a6d050ac2e,whitespace_collapsed_lower,train
W001_V01_P07,W001,P07,V01,,cce274bff9d8ca6b82a2bdb1a2d438b29b7deccbbd37f16b7a999919d5d10870,bf35021edbb46e613e5ccae6beade261c185e517286b14836d5cc185a7eebc77,whitespace_collapsed_lower,train
W001_V01_P08,W001,P08,V01,,bca35d05572bcde8a30de3399ed02ba155d1a53571439fb60e58c96ac810b398,e177820ef98a474d7303142c09de8fde48ff9217388b799f4f61f68e1b3acc7c,whitespace_collapsed_lower,train
W001_V01_P09,W001,P09,V01,,a702937e36453f5c5da3c5facc4743f4cc413146c60915ed3a23212809d24233,ed3c91bbcd2cb3f8220d8f9479cc1843c5b3ddfb1ec1371e6545cd76b9577534,whitespace_collapsed_lower,train
W001_V01_P10,W001,P10,V01,,598bcad4d216f128d9d596575d0effa05544431a14357463d0d21f85ce4b3444,e98eeebecf71dc017d92d6a277cda3db91ee75a3dbdc02ca09e839afc5c5684e,whitespace_collapsed_lower,train
W001_V02_P01,W001,P01,V02,,03ab3d53705990f988bd5ec6a304df59c8e4b80414cc0529fdd89ecc5ee7b9f3,bddd5327e80c89d0631766123bdef1b751ddb570b3d202ceb51c90ba7e884a51,whitespace_collapsed_lower,train
W001_V02_P02,W001,P02,V02,,b6216400dd934e09c5ec6f37f46a2d93fef604ef135f4e54b14bc0f1c3d79a39,bfe1ab09eda769f4f7557bfa7c5d6b86331bb23b03845ee77922dbd937c45b6c,whitespace_collapsed_lower,train
W001_V02_P03,W001,P03,V02,,1a962790ee912349dcaba19c8fd3974547bc94c802dcbe1a04f7e7f986a758d9,c54c3fa2ec1f990a3f2a447112b44c493e3a8561003fe44fba7fe90d1d4cd7fb,whitespace_collapsed_lower,train
W001_V02_P04,W001,P04,V02,,7bc822482eab99b552cae0eae6f04e493520809f80da435c78073215fed77f69,96adf363a03129672577bf8bef228c886d8fc11ac40bc787efeb7f4d057a958b,whitespace_collapsed_lower,train
W001_V02_P05,W001,P05,V02,,218e3754d151d6d795a13b37d143b528b6f6d34504350ff7a9583748bf726c6e,e439c980bffa5ebb8855d24b993002508fe297ffdcf33585ffc617fff2108afc,whitespace_collapsed_lower,train
W001_V02_P06,W001,P06,V02,,eebcc48a8d1f35727ac8514d03ce98ffd965da2b735dadc98223b19902497d2e,90b5212621ab7e005172bbbe25e530324a2957a5266d9daf24144de215703748,whitespace_collapsed_lower,train
W001_V02_P07,W001,P07,V02,,812a85400facac01f6724d3ee4c017e17529f5c1680adaea778b477d88f631ba,0048c033057fdb454be8e56deb94acb934ba2c7d41f9519ac19d1167d9b23956,whitespace_collapsed_lower,train
W001_V02_P08,W001,P08,V02,,f212fadaafe5fd65eabf2af56604733664996ab119aa1fe75c5d0ee5dfac9700,74cf6d7d5266cede9de44111014aa5c1642515e19c5a50b5a35e0f21010815b9,whitespace_collapsed_lower,train
W001_V02_P09,W001,P09,V02,,56564f097c2b9f53c5367d8816557e317bd9e67a5357b031317a2ac40bfa3771,6413c69fea10c6485df3a3814ccbc5599ef58010f988cb922d247214af1e4852,whitespace_collapsed_lower,train
W001_V02_P10,W001,P10,V02,,d21f99b838626759d285720a1a9b4dc5a0d060579237be528944ff2abadafc3b,b38c99b9024f2f558e7296d0f40d667735ba667ecf2dd68a0b589346ad4773db,whitespace_collapsed_lower,train
W001_V03_P01,W001,P01,V03,,e8311a8549e8a31f5ece10a8b138b1de64c2b3d14102b11a85a5216a4bea56bf,31b2e8e2b0542d19c13d9466959412efc95300ee61d3f6614cfb05c08224875f,whitespace_collapsed_lower,train
W001_V03_P02,W001,P02,V03,,fc7f8b4f4843e621f95df60ba171c0c9fb3d151e239950051796451bfe58677b,4f42755fac628762c27dd74a3d7f494a4db00d8c54e1b88cf40e5bacb1da0303,whitespace_collapsed_lower,train
W001_V03_P03,W001,P03,V03,,e6eefc91827c1b55206e2be92cb9312b8d8219091ba984f6e0058318ec24bfdf,f9ee365118b027fe3a842c9056768a3a14bb88b7e63d5ca3e65360079c4ed51f,whitespace_collapsed_lower,train
