snapshot_id,website_id,snapshot_version,snapshot_timestamp_iso,version_count_at_snapshot,latest_release_version,stale_eligible,split
SNAP-W001-V01,W001,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W001-V02,W001,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W001-V03,W001,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W001-V04,W001,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W001-V05,W001,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W001-V06,W001,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W001-V07,W001,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W001-V08,W001,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W001-V09,W001,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W002-V01,W002,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W002-V02,W002,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W002-V03,W002,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W002-V04,W002,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W002-V05,W002,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W002-V06,W002,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W002-V07,W002,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W002-V08,W002,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W002-V09,W002,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W003-V01,W003,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W003-V02,W003,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W003-V03,W003,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W003-V04,W003,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W003-V05,W003,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W003-V06,W003,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W003-V07,W003,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W003-V08,W003,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W003-V09,W003,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W004-V01,W004,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W004-V02,W004,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W004-V03,W004,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W004-V04,W004,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W004-V05,W004,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W004-V06,W004,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W004-V07,W004,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W004-V08,W004,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W004-V09,W004,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W005-V01,W005,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W005-V02,W005,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W005-V03,W005,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W005-V04,W005,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W005-V05,W005,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W005-V06,W005,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W005-V07,W005,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W005-V08,W005,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W005-V09,W005,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W006-V01,W006,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W006-V02,W006,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W006-V03,W006,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W006-V04,W006,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W006-V05,W006,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W006-V06,W006,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W006-V07,W006,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W006-V08,W006,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W006-V09,W006,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W007-V01,W007,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W007-V02,W007,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W007-V03,W007,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W007-V04,W007,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W007-V05,W007,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W007-V06,W007,V06,2026-02-05T00:00:00Z,6,V10,yes,train
SNAP-W007-V07,W007,V07,2026-02-12T00:00:00Z,7,V10,yes,train
SNAP-W007-V08,W007,V08,2026-02-19T00:00:00Z,8,V10,yes,train
SNAP-W007-V09,W007,V09,2026-02-26T00:00:00Z,9,V10,yes,train
SNAP-W008-V01,W008,V01,2026-01-01T00:00:00Z,1,V10,yes,train
SNAP-W008-V02,W008,V02,2026-01-08T00:00:00Z,2,V10,yes,train
SNAP-W008-V03,W008,V03,2026-01-15T00:00:00Z,3,V10,yes,train
SNAP-W008-V04,W008,V04,2026-01-22T00:00:00Z,4,V10,yes,train
SNAP-W008-V05,W008,V05,2026-01-29T00:00:00Z,5,V10,yes,train
SNAP-W008-V06,W008,V06,2026-02-05T00:00:00Z,6,V10,yes,train
