replacement_id,stale_test_id,website_id,page_id,snapshot_version,required_version,snapshot_chunk_ids,required_chunk_ids,chunk_replacement_plan_json,any_embedding_update_required,selective_replace_instruction,split
REP-ST0001-P01,ST0001,W001,P01,V02,V04,"W001_V02_P01_C1,W001_V02_P01_C2","W001_V04_P01_C1,W001_V04_P01_C2","[{""from_chunk_id"": ""W001_V02_P01_C1"", ""to_chunk_id"": ""W001_V04_P01_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P01_C2"", ""to_chunk_id"": ""W001_V04_P01_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P01_C1,W001_V02_P01_C2 with embeddings of W001_V04_P01_C1,W001_V04_P01_C2 for W001 P01 V02->V04.",train
REP-ST0001-P02,ST0001,W001,P02,V02,V04,"W001_V02_P02_C1,W001_V02_P02_C2","W001_V04_P02_C1,W001_V04_P02_C2","[{""from_chunk_id"": ""W001_V02_P02_C1"", ""to_chunk_id"": ""W001_V04_P02_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P02_C2"", ""to_chunk_id"": ""W001_V04_P02_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P02_C1,W001_V02_P02_C2 with embeddings of W001_V04_P02_C1,W001_V04_P02_C2 for W001 P02 V02->V04.",train
REP-ST0001-P03,ST0001,W001,P03,V02,V04,"W001_V02_P03_C1,W001_V02_P03_C2","W001_V04_P03_C1,W001_V04_P03_C2","[{""from_chunk_id"": ""W001_V02_P03_C1"", ""to_chunk_id"": ""W001_V04_P03_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P03_C2"", ""to_chunk_id"": ""W001_V04_P03_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P03_C1,W001_V02_P03_C2 with embeddings of W001_V04_P03_C1,W001_V04_P03_C2 for W001 P03 V02->V04.",train
REP-ST0001-P04,ST0001,W001,P04,V02,V04,"W001_V02_P04_C1,W001_V02_P04_C2","W001_V04_P04_C1,W001_V04_P04_C2","[{""from_chunk_id"": ""W001_V02_P04_C1"", ""to_chunk_id"": ""W001_V04_P04_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P04_C2"", ""to_chunk_id"": ""W001_V04_P04_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P04_C1,W001_V02_P04_C2 with embeddings of W001_V04_P04_C1,W001_V04_P04_C2 for W001 P04 V02->V04.",train
REP-ST0001-P05,ST0001,W001,P05,V02,V04,"W001_V02_P05_C1,W001_V02_P05_C2","W001_V04_P05_C1,W001_V04_P05_C2","[{""from_chunk_id"": ""W001_V02_P05_C1"", ""to_chunk_id"": ""W001_V04_P05_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P05_C2"", ""to_chunk_id"": ""W001_V04_P05_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P05_C1,W001_V02_P05_C2 with embeddings of W001_V04_P05_C1,W001_V04_P05_C2 for W001 P05 V02->V04.",train
REP-ST0001-P06,ST0001,W001,P06,V02,V04,"W001_V02_P06_C1,W001_V02_P06_C2","W001_V04_P06_C1,W001_V04_P06_C2","[{""from_chunk_id"": ""W001_V02_P06_C1"", ""to_chunk_id"": ""W001_V04_P06_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P06_C2"", ""to_chunk_id"": ""W001_V04_P06_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P06_C1,W001_V02_P06_C2 with embeddings of W001_V04_P06_C1,W001_V04_P06_C2 for W001 P06 V02->V04.",train
REP-ST0001-P07,ST0001,W001,P07,V02,V04,"W001_V02_P07_C1,W001_V02_P07_C2","W001_V04_P07_C1,W001_V04_P07_C2","[{""from_chunk_id"": ""W001_V02_P07_C1"", ""to_chunk_id"": ""W001_V04_P07_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P07_C2"", ""to_chunk_id"": ""W001_V04_P07_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P07_C1,W001_V02_P07_C2 with embeddings of W001_V04_P07_C1,W001_V04_P07_C2 for W001 P07 V02->V04.",train
REP-ST0001-P08,ST0001,W001,P08,V02,V04,"W001_V02_P08_C1,W001_V02_P08_C2","W001_V04_P08_C1,W001_V04_P08_C2","[{""from_chunk_id"": ""W001_V02_P08_C1"", ""to_chunk_id"": ""W001_V04_P08_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P08_C2"", ""to_chunk_id"": ""W001_V04_P08_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P08_C1,W001_V02_P08_C2 with embeddings of W001_V04_P08_C1,W001_V04_P08_C2 for W001 P08 V02->V04.",train
REP-ST0001-P09,ST0001,W001,P09,V02,V04,"W001_V02_P09_C1,W001_V02_P09_C2","W001_V04_P09_C1,W001_V04_P09_C2","[{""from_chunk_id"": ""W001_V02_P09_C1"", ""to_chunk_id"": ""W001_V04_P09_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P09_C2"", ""to_chunk_id"": ""W001_V04_P09_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P09_C1,W001_V02_P09_C2 with embeddings of W001_V04_P09_C1,W001_V04_P09_C2 for W001 P09 V02->V04.",train
REP-ST0001-P10,ST0001,W001,P10,V02,V04,"W001_V02_P10_C1,W001_V02_P10_C2","W001_V04_P10_C1,W001_V04_P10_C2","[{""from_chunk_id"": ""W001_V02_P10_C1"", ""to_chunk_id"": ""W001_V04_P10_C1"", ""embedding_update_required"": ""yes""}, {""from_chunk_id"": ""W001_V02_P10_C2"", ""to_chunk_id"": ""W001_V04_P10_C2"", ""embedding_update_required"": ""yes""}]",yes,"Replace embeddings of W001_V02_P10_C1,W001_V02_P10_C2 with embeddings of W001_V04_P10_C1,W001_V04_P10_C2 for W001 P10 V02->V04.",train
