website_id,page_id,from_document,to_document,change_type
W001,P01,W001_V01_P01,W001_V02_P01,requirement
W001,P02,W001_V01_P02,W001_V02_P02,policy
W001,P03,W001_V01_P03,W001_V02_P03,semantic
W001,P04,W001_V01_P04,W001_V02_P04,numeric
W001,P05,W001_V01_P05,W001_V02_P05,major_semantic
W001,P06,W001_V01_P06,W001_V02_P06,reordering
W001,P07,W001_V01_P07,W001_V02_P07,date_time
W001,P08,W001_V01_P08,W001_V02_P08,deletion
W001,P09,W001_V01_P09,W001_V02_P09,addition
W001,P10,W001_V01_P10,W001_V02_P10,requirement
W001,P01,W001_V02_P01,W001_V03_P01,deletion
W001,P02,W001_V02_P02,W001_V03_P02,addition
W001,P03,W001_V02_P03,W001_V03_P03,requirement
W001,P04,W001_V02_P04,W001_V03_P04,policy
W001,P05,W001_V02_P05,W001_V03_P05,semantic
W001,P06,W001_V02_P06,W001_V03_P06,numeric
W001,P07,W001_V02_P07,W001_V03_P07,major_semantic
W001,P08,W001_V02_P08,W001_V03_P08,reordering
W001,P09,W001_V02_P09,W001_V03_P09,date_time
W001,P10,W001_V02_P10,W001_V03_P10,deletion
W001,P01,W001_V03_P01,W001_V04_P01,reordering
W001,P02,W001_V03_P02,W001_V04_P02,date_time
W001,P03,W001_V03_P03,W001_V04_P03,deletion
W001,P04,W001_V03_P04,W001_V04_P04,addition
W001,P05,W001_V03_P05,W001_V04_P05,requirement
W001,P06,W001_V03_P06,W001_V04_P06,policy
W001,P07,W001_V03_P07,W001_V04_P07,semantic
W001,P08,W001_V03_P08,W001_V04_P08,numeric
W001,P09,W001_V03_P09,W001_V04_P09,major_semantic
W001,P10,W001_V03_P10,W001_V04_P10,reordering
W001,P01,W001_V04_P01,W001_V05_P01,numeric
W001,P02,W001_V04_P02,W001_V05_P02,major_semantic
W001,P03,W001_V04_P03,W001_V05_P03,reordering
W001,P04,W001_V04_P04,W001_V05_P04,date_time
W001,P05,W001_V04_P05,W001_V05_P05,deletion
W001,P06,W001_V04_P06,W001_V05_P06,addition
W001,P07,W001_V04_P07,W001_V05_P07,requirement
W001,P08,W001_V04_P08,W001_V05_P08,policy
W001,P09,W001_V04_P09,W001_V05_P09,semantic
W001,P10,W001_V04_P10,W001_V05_P10,numeric
W001,P01,W001_V05_P01,W001_V06_P01,policy
W001,P02,W001_V05_P02,W001_V06_P02,semantic
W001,P03,W001_V05_P03,W001_V06_P03,numeric
W001,P04,W001_V05_P04,W001_V06_P04,major_semantic
W001,P05,W001_V05_P05,W001_V06_P05,reordering
W001,P06,W001_V05_P06,W001_V06_P06,date_time
W001,P07,W001_V05_P07,W001_V06_P07,deletion
W001,P08,W001_V05_P08,W001_V06_P08,addition
W001,P09,W001_V05_P09,W001_V06_P09,requirement
W001,P10,W001_V05_P10,W001_V06_P10,policy
W001,P01,W001_V06_P01,W001_V07_P01,addition
W001,P02,W001_V06_P02,W001_V07_P02,requirement
W001,P03,W001_V06_P03,W001_V07_P03,policy
W001,P04,W001_V06_P04,W001_V07_P04,semantic
W001,P05,W001_V06_P05,W001_V07_P05,numeric
W001,P06,W001_V06_P06,W001_V07_P06,major_semantic
W001,P07,W001_V06_P07,W001_V07_P07,reordering
W001,P08,W001_V06_P08,W001_V07_P08,date_time
W001,P09,W001_V06_P09,W001_V07_P09,deletion
W001,P10,W001_V06_P10,W001_V07_P10,addition
W001,P01,W001_V07_P01,W001_V08_P01,date_time
W001,P02,W001_V07_P02,W001_V08_P02,deletion
W001,P03,W001_V07_P03,W001_V08_P03,addition
W001,P04,W001_V07_P04,W001_V08_P04,requirement
W001,P05,W001_V07_P05,W001_V08_P05,policy
W001,P06,W001_V07_P06,W001_V08_P06,semantic
W001,P07,W001_V07_P07,W001_V08_P07,numeric
W001,P08,W001_V07_P08,W001_V08_P08,major_semantic
W001,P09,W001_V07_P09,W001_V08_P09,reordering
W001,P10,W001_V07_P10,W001_V08_P10,date_time
W001,P01,W001_V08_P01,W001_V09_P01,major_semantic
W001,P02,W001_V08_P02,W001_V09_P02,reordering
W001,P03,W001_V08_P03,W001_V09_P03,date_time
W001,P04,W001_V08_P04,W001_V09_P04,deletion
W001,P05,W001_V08_P05,W001_V09_P05,addition
W001,P06,W001_V08_P06,W001_V09_P06,requirement
W001,P07,W001_V08_P07,W001_V09_P07,policy
W001,P08,W001_V08_P08,W001_V09_P08,semantic
W001,P09,W001_V08_P09,W001_V09_P09,numeric
W001,P10,W001_V08_P10,W001_V09_P10,major_semantic
W001,P01,W001_V09_P01,W001_V10_P01,semantic
W001,P02,W001_V09_P02,W001_V10_P02,numeric
W001,P03,W001_V09_P03,W001_V10_P03,major_semantic
W001,P04,W001_V09_P04,W001_V10_P04,reordering
W001,P05,W001_V09_P05,W001_V10_P05,date_time
W001,P06,W001_V09_P06,W001_V10_P06,deletion
W001,P07,W001_V09_P07,W001_V10_P07,addition
W001,P08,W001_V09_P08,W001_V10_P08,requirement
W001,P09,W001_V09_P09,W001_V10_P09,policy
W001,P10,W001_V09_P10,W001_V10_P10,semantic
W002,P01,W002_V01_P01,W002_V02_P01,policy
W002,P02,W002_V01_P02,W002_V02_P02,semantic
W002,P03,W002_V01_P03,W002_V02_P03,numeric
W002,P04,W002_V01_P04,W002_V02_P04,major_semantic
W002,P05,W002_V01_P05,W002_V02_P05,reordering
W002,P06,W002_V01_P06,W002_V02_P06,date_time
W002,P07,W002_V01_P07,W002_V02_P07,deletion
W002,P08,W002_V01_P08,W002_V02_P08,addition
W002,P09,W002_V01_P09,W002_V02_P09,requirement
W002,P10,W002_V01_P10,W002_V02_P10,policy
W002,P01,W002_V02_P01,W002_V03_P01,addition
W002,P02,W002_V02_P02,W002_V03_P02,requirement
W002,P03,W002_V02_P03,W002_V03_P03,policy
W002,P04,W002_V02_P04,W002_V03_P04,semantic
W002,P05,W002_V02_P05,W002_V03_P05,numeric
W002,P06,W002_V02_P06,W002_V03_P06,major_semantic
W002,P07,W002_V02_P07,W002_V03_P07,reordering
W002,P08,W002_V02_P08,W002_V03_P08,date_time
W002,P09,W002_V02_P09,W002_V03_P09,deletion
W002,P10,W002_V02_P10,W002_V03_P10,addition
W002,P01,W002_V03_P01,W002_V04_P01,date_time
W002,P02,W002_V03_P02,W002_V04_P02,deletion
W002,P03,W002_V03_P03,W002_V04_P03,addition
W002,P04,W002_V03_P04,W002_V04_P04,requirement
W002,P05,W002_V03_P05,W002_V04_P05,policy
W002,P06,W002_V03_P06,W002_V04_P06,semantic
W002,P07,W002_V03_P07,W002_V04_P07,numeric
W002,P08,W002_V03_P08,W002_V04_P08,major_semantic
W002,P09,W002_V03_P09,W002_V04_P09,reordering
W002,P10,W002_V03_P10,W002_V04_P10,date_time
W002,P01,W002_V04_P01,W002_V05_P01,major_semantic
W002,P02,W002_V04_P02,W002_V05_P02,reordering
W002,P03,W002_V04_P03,W002_V05_P03,date_time
W002,P04,W002_V04_P04,W002_V05_P04,deletion
W002,P05,W002_V04_P05,W002_V05_P05,addition
W002,P06,W002_V04_P06,W002_V05_P06,requirement
W002,P07,W002_V04_P07,W002_V05_P07,policy
W002,P08,W002_V04_P08,W002_V05_P08,semantic
W002,P09,W002_V04_P09,W002_V05_P09,numeric
W002,P10,W002_V04_P10,W002_V05_P10,major_semantic
W002,P01,W002_V05_P01,W002_V06_P01,semantic
W002,P02,W002_V05_P02,W002_V06_P02,numeric
W002,P03,W002_V05_P03,W002_V06_P03,major_semantic
W002,P04,W002_V05_P04,W002_V06_P04,reordering
W002,P05,W002_V05_P05,W002_V06_P05,date_time
W002,P06,W002_V05_P06,W002_V06_P06,deletion
W002,P07,W002_V05_P07,W002_V06_P07,addition
W002,P08,W002_V05_P08,W002_V06_P08,requirement
W002,P09,W002_V05_P09,W002_V06_P09,policy
W002,P10,W002_V05_P10,W002_V06_P10,semantic
W002,P01,W002_V06_P01,W002_V07_P01,requirement
W002,P02,W002_V06_P02,W002_V07_P02,policy
W002,P03,W002_V06_P03,W002_V07_P03,semantic
W002,P04,W002_V06_P04,W002_V07_P04,numeric
W002,P05,W002_V06_P05,W002_V07_P05,major_semantic
W002,P06,W002_V06_P06,W002_V07_P06,reordering
W002,P07,W002_V06_P07,W002_V07_P07,date_time
W002,P08,W002_V06_P08,W002_V07_P08,deletion
W002,P09,W002_V06_P09,W002_V07_P09,addition
W002,P10,W002_V06_P10,W002_V07_P10,requirement
W002,P01,W002_V07_P01,W002_V08_P01,deletion
W002,P02,W002_V07_P02,W002_V08_P02,addition
W002,P03,W002_V07_P03,W002_V08_P03,requirement
W002,P04,W002_V07_P04,W002_V08_P04,policy
W002,P05,W002_V07_P05,W002_V08_P05,semantic
W002,P06,W002_V07_P06,W002_V08_P06,numeric
W002,P07,W002_V07_P07,W002_V08_P07,major_semantic
W002,P08,W002_V07_P08,W002_V08_P08,reordering
W002,P09,W002_V07_P09,W002_V08_P09,date_time
W002,P10,W002_V07_P10,W002_V08_P10,deletion
W002,P01,W002_V08_P01,W002_V09_P01,reordering
W002,P02,W002_V08_P02,W002_V09_P02,date_time
W002,P03,W002_V08_P03,W002_V09_P03,deletion
W002,P04,W002_V08_P04,W002_V09_P04,addition
W002,P05,W002_V08_P05,W002_V09_P05,requirement
W002,P06,W002_V08_P06,W002_V09_P06,policy
W002,P07,W002_V08_P07,W002_V09_P07,semantic
W002,P08,W002_V08_P08,W002_V09_P08,numeric
W002,P09,W002_V08_P09,W002_V09_P09,major_semantic
W002,P10,W002_V08_P10,W002_V09_P10,reordering
W002,P01,W002_V09_P01,W002_V10_P01,numeric
W002,P02,W002_V09_P02,W002_V10_P02,major_semantic
W002,P03,W002_V09_P03,W002_V10_P03,reordering
W002,P04,W002_V09_P04,W002_V10_P04,date_time
W002,P05,W002_V09_P05,W002_V10_P05,deletion
W002,P06,W002_V09_P06,W002_V10_P06,addition
W002,P07,W002_V09_P07,W002_V10_P07,requirement
W002,P08,W002_V09_P08,W002_V10_P08,policy
W002,P09,W002_V09_P09,W002_V10_P09,semantic
W002,P10,W002_V09_P10,W002_V10_P10,numeric
W003,P01,W003_V01_P01,W003_V02_P01,semantic
W003,P02,W003_V01_P02,W003_V02_P02,numeric
W003,P03,W003_V01_P03,W003_V02_P03,major_semantic
W003,P04,W003_V01_P04,W003_V02_P04,reordering
W003,P05,W003_V01_P05,W003_V02_P05,date_time
W003,P06,W003_V01_P06,W003_V02_P06,deletion
W003,P07,W003_V01_P07,W003_V02_P07,addition
W003,P08,W003_V01_P08,W003_V02_P08,requirement
W003,P09,W003_V01_P09,W003_V02_P09,policy
W003,P10,W003_V01_P10,W003_V02_P10,semantic
W003,P01,W003_V02_P01,W003_V03_P01,requirement
W003,P02,W003_V02_P02,W003_V03_P02,policy
W003,P03,W003_V02_P03,W003_V03_P03,semantic
W003,P04,W003_V02_P04,W003_V03_P04,numeric
W003,P05,W003_V02_P05,W003_V03_P05,major_semantic
W003,P06,W003_V02_P06,W003_V03_P06,reordering
W003,P07,W003_V02_P07,W003_V03_P07,date_time
W003,P08,W003_V02_P08,W003_V03_P08,deletion
W003,P09,W003_V02_P09,W003_V03_P09,addition
W003,P10,W003_V02_P10,W003_V03_P10,requirement
W003,P01,W003_V03_P01,W003_V04_P01,deletion
W003,P02,W003_V03_P02,W003_V04_P02,addition
W003,P03,W003_V03_P03,W003_V04_P03,requirement
W003,P04,W003_V03_P04,W003_V04_P04,policy
W003,P05,W003_V03_P05,W003_V04_P05,semantic
W003,P06,W003_V03_P06,W003_V04_P06,numeric
W003,P07,W003_V03_P07,W003_V04_P07,major_semantic
W003,P08,W003_V03_P08,W003_V04_P08,reordering
W003,P09,W003_V03_P09,W003_V04_P09,date_time
W003,P10,W003_V03_P10,W003_V04_P10,deletion
W003,P01,W003_V04_P01,W003_V05_P01,reordering
W003,P02,W003_V04_P02,W003_V05_P02,date_time
W003,P03,W003_V04_P03,W003_V05_P03,deletion
W003,P04,W003_V04_P04,W003_V05_P04,addition
W003,P05,W003_V04_P05,W003_V05_P05,requirement
W003,P06,W003_V04_P06,W003_V05_P06,policy
W003,P07,W003_V04_P07,W003_V05_P07,semantic
W003,P08,W003_V04_P08,W003_V05_P08,numeric
W003,P09,W003_V04_P09,W003_V05_P09,major_semantic
W003,P10,W003_V04_P10,W003_V05_P10,reordering
W003,P01,W003_V05_P01,W003_V06_P01,numeric
W003,P02,W003_V05_P02,W003_V06_P02,major_semantic
W003,P03,W003_V05_P03,W003_V06_P03,reordering
W003,P04,W003_V05_P04,W003_V06_P04,date_time
W003,P05,W003_V05_P05,W003_V06_P05,deletion
W003,P06,W003_V05_P06,W003_V06_P06,addition
W003,P07,W003_V05_P07,W003_V06_P07,requirement
W003,P08,W003_V05_P08,W003_V06_P08,policy
W003,P09,W003_V05_P09,W003_V06_P09,semantic
W003,P10,W003_V05_P10,W003_V06_P10,numeric
W003,P01,W003_V06_P01,W003_V07_P01,policy
W003,P02,W003_V06_P02,W003_V07_P02,semantic
W003,P03,W003_V06_P03,W003_V07_P03,numeric
W003,P04,W003_V06_P04,W003_V07_P04,major_semantic
W003,P05,W003_V06_P05,W003_V07_P05,reordering
