version,relative_order,release_date,release_timestamp_iso,next_version_delay_days,source
V01,1,2026-01-01,2026-01-01T00:00:00Z,7,synthetic_benchmark_schedule
V02,2,2026-01-08,2026-01-08T00:00:00Z,7,synthetic_benchmark_schedule
V03,3,2026-01-15,2026-01-15T00:00:00Z,7,synthetic_benchmark_schedule
V04,4,2026-01-22,2026-01-22T00:00:00Z,7,synthetic_benchmark_schedule
V05,5,2026-01-29,2026-01-29T00:00:00Z,7,synthetic_benchmark_schedule
V06,6,2026-02-05,2026-02-05T00:00:00Z,7,synthetic_benchmark_schedule
V07,7,2026-02-12,2026-02-12T00:00:00Z,7,synthetic_benchmark_schedule
V08,8,2026-02-19,2026-02-19T00:00:00Z,7,synthetic_benchmark_schedule
V09,9,2026-02-26,2026-02-26T00:00:00Z,7,synthetic_benchmark_schedule
V10,10,2026-03-05,2026-03-05T00:00:00Z,7,synthetic_benchmark_schedule
