website_id,website_name,domain_type,region,site_code,fictional,version_count
W001,Atlas Education North,education,North,EDU-01-000,True,10
W002,Atlas Software South,software,South,SOF-01-037,True,10
W003,Atlas Travel East,travel,East,TRA-01-074,True,10
W004,Atlas Hospitality West,hospitality,West,HOS-01-111,True,10
W005,Atlas Healthcare Central,healthcare,Central,HEA-01-148,True,10
W006,Atlas Finance Coastal,finance,Coastal,FIN-01-185,True,10
W007,Atlas Insurance Metro,insurance,Metro,INS-01-222,True,10
W008,Atlas Property Highland,property,Highland,PRO-01-259,True,10
W009,Atlas Ecommerce River,ecommerce,River,ECO-01-296,True,10
W010,Atlas Public Service Lakeside,public_service,Lakeside,PUB-01-333,True,10
W011,Atlas Events North,events,North,EVE-01-370,True,10
W012,Atlas Food South,food,South,FOO-01-407,True,10
W013,Atlas Telecom East,telecom,East,TEL-01-444,True,10
W014,Atlas Utilities West,utilities,West,UTI-01-481,True,10
W015,Atlas Automotive Central,automotive,Central,AUT-01-518,True,10
W016,Atlas Hr Coastal,hr,Coastal,HR-01-555,True,10
W017,Atlas Research Metro,research,Metro,RES-01-592,True,10
W018,Atlas Logistics Highland,logistics,Highland,LOG-01-629,True,10
W019,Atlas Nonprofit River,nonprofit,River,NON-01-666,True,10
W020,Atlas Media Lakeside,media,Lakeside,MED-01-703,True,10
W021,Nimbus Education North,education,North,EDU-02-740,True,10
W022,Nimbus Software South,software,South,SOF-02-777,True,10
W023,Nimbus Travel East,travel,East,TRA-02-814,True,10
W024,Nimbus Hospitality West,hospitality,West,HOS-02-851,True,10
W025,Nimbus Healthcare Central,healthcare,Central,HEA-02-888,True,10
W026,Nimbus Finance Coastal,finance,Coastal,FIN-02-925,True,10
W027,Nimbus Insurance Metro,insurance,Metro,INS-02-962,True,10
W028,Nimbus Property Highland,property,Highland,PRO-02-002,True,10
W029,Nimbus Ecommerce River,ecommerce,River,ECO-02-039,True,10
W030,Nimbus Public Service Lakeside,public_service,Lakeside,PUB-02-076,True,10
W031,Nimbus Events North,events,North,EVE-02-113,True,10
W032,Nimbus Food South,food,South,FOO-02-150,True,10
W033,Nimbus Telecom East,telecom,East,TEL-02-187,True,10
W034,Nimbus Utilities West,utilities,West,UTI-02-224,True,10
W035,Nimbus Automotive Central,automotive,Central,AUT-02-261,True,10
W036,Nimbus Hr Coastal,hr,Coastal,HR-02-298,True,10
